date,universe_n,nh_52w,nl_52w,advances,declines,qqq_close,qqq_52w_high,qqq_pct_from_high,qqq_50dma,qqq_above_50dma,qqq_fwd_4w,pct_above_50dma,nh_pct_52w,net_breadth_52w,ad_ratio,month
2024-06-03,241,25,76,79,159,453.1300048828125,459.67999267578125,-0.014249016483927218,440.4832000732422,True,0.07470263663574839,0.4149377593360996,0.1037344398340249,-0.21161825726141079,0.3319327731092437,2024-06
2024-06-04,241,28,80,87,149,454.3699951171875,459.67999267578125,-0.01155150896971704,440.6429998779297,True,0.08070518260845261,0.3029045643153527,0.11618257261410789,-0.2157676348547718,0.3686440677966102,2024-06
2024-06-05,241,53,24,181,57,463.5299987792969,463.5299987792969,0.0,441.0183996582031,True,0.07039459143689375,0.5103734439834025,0.21991701244813278,0.12033195020746888,0.7605042016806722,2024-06
2024-06-06,241,21,36,81,156,463.3699951171875,463.5299987792969,-0.00034518512832123826,441.4193994140625,True,0.07331074859974906,0.5020746887966805,0.08713692946058091,-0.06224066390041494,0.34177215189873417,2024-06
2024-06-07,241,10,54,57,181,462.9599914550781,463.5299987792969,-0.0012297096751447813,441.78199951171877,True,0.07519007733084293,0.3900414937759336,0.04149377593360996,-0.1825726141078838,0.23949579831932774,2024-06
2024-06-10,241,36,27,162,77,464.8299865722656,464.8299865722656,0.0,442.1983990478516,True,0.08203000233265834,0.42738589211618255,0.14937759336099585,0.03734439834024896,0.6778242677824268,2024-06
2024-06-11,241,34,44,108,127,468.0199890136719,468.0199890136719,0.0,442.65979858398435,True,0.05108756938458647,0.45228215767634855,0.14107883817427386,-0.04149377593360996,0.4595744680851064,2024-06
2024-06-12,240,54,21,168,66,474.1499938964844,474.1499938964844,0.0,443.32059875488284,True,0.043593828311314864,0.5541666666666667,0.225,0.1375,0.717948717948718,2024-06
2024-06-13,241,34,46,86,152,476.7200012207031,476.7200012207031,0.0,444.01299865722655,True,0.040757661994521355,0.4854771784232365,0.14107883817427386,-0.04979253112033195,0.36134453781512604,2024-06
2024-06-14,241,16,54,55,185,479.19000244140625,479.19000244140625,0.0,444.8899987792969,True,0.035789548632291,0.3983402489626556,0.06639004149377593,-0.15767634854771784,0.22916666666666666,2024-06
2024-06-17,241,41,34,152,85,485.05999755859375,485.05999755859375,0.0,445.7817987060547,True,-0.006782683712285409,0.42738589211618255,0.17012448132780084,0.029045643153526972,0.6413502109704642,2024-06
2024-06-18,240,39,41,135,101,485.2099914550781,485.2099914550781,0.0,446.67399841308594,True,-0.011788712766506726,0.49583333333333335,0.1625,-0.008333333333333333,0.5720338983050848,2024-06
2024-06-20,241,10,37,90,147,481.4700012207031,485.2099914550781,-0.007707982729620391,447.45879821777345,True,-0.012939562112972314,0.4605809128630705,0.04149377593360996,-0.11203319502074689,0.379746835443038,2024-06
2024-06-21,241,18,28,121,118,480.17999267578125,485.2099914550781,-0.010366643036786196,448.2949981689453,True,0.004456692659168038,0.4730290456431535,0.07468879668049792,-0.04149377593360996,0.5062761506276151,2024-06
2024-06-24,240,18,37,100,135,473.9599914550781,485.2099914550781,-0.023185837468562415,448.86679809570313,True,0.014051826698837644,0.44166666666666665,0.075,-0.07916666666666666,0.425531914893617,2024-06
2024-06-25,240,21,32,110,125,479.3800048828125,485.2099914550781,-0.012015388542973519,449.6889984130859,True,-0.03337644423427988,0.4083333333333333,0.0875,-0.04583333333333333,0.46808510638297873,2024-06
2024-06-26,241,12,26,105,133,480.3699951171875,485.2099914550781,-0.009975054972335052,450.6751983642578,True,-0.04600621672493155,0.37344398340248963,0.04979253112033195,-0.058091286307053944,0.4411764705882353,2024-06
2024-06-27,241,21,14,167,73,481.6099853515625,485.2099914550781,-0.007419480569061864,451.6853979492187,True,-0.038703483519455406,0.46473029045643155,0.08713692946058091,0.029045643153526972,0.6958333333333333,2024-06
2024-06-28,241,24,22,130,109,479.1099853515625,485.2099914550781,-0.012571888895409068,452.7507977294922,True,-0.03174634618378347,0.4896265560165975,0.0995850622406639,0.008298755186721992,0.5439330543933054,2024-06
2024-07-01,241,25,30,98,142,481.9200134277344,485.2099914550781,-0.0067805240726341144,453.9209979248047,True,-0.05061008874680173,0.42738589211618255,0.1037344398340249,-0.02074688796680498,0.4083333333333333,2024-07
2024-07-02,241,20,15,147,91,486.9800109863281,486.9800109863281,0.0,455.3675982666016,True,-0.03267075301486255,0.45228215767634855,0.08298755186721991,0.02074688796680498,0.6176470588235294,2024-07
2024-07-03,240,25,6,161,70,491.0400085449219,491.0400085449219,0.0,456.81199829101564,True,-0.0639051896724252,0.5208333333333334,0.10416666666666667,0.07916666666666666,0.696969696969697,2024-07
2024-07-05,241,36,15,118,123,496.1600036621094,496.1600036621094,0.0,458.2337982177734,True,-0.09555386027124457,0.47717842323651455,0.14937759336099585,0.08713692946058091,0.4896265560165975,2024-07
2024-07-08,241,40,8,162,76,497.3399963378906,497.3399963378906,0.0,459.65039794921876,True,-0.12460289073272313,0.5601659751037344,0.16597510373443983,0.13278008298755187,0.680672268907563,2024-07
2024-07-09,241,16,15,76,162,497.7699890136719,497.7699890136719,0.0,461.1167974853516,True,-0.11700181111717312,0.5062240663900415,0.06639004149377593,0.004149377593360996,0.31932773109243695,2024-07
2024-07-10,241,41,7,187,50,502.9599914550781,502.9599914550781,0.0,462.5559973144531,True,-0.1355773890565939,0.6224066390041494,0.17012448132780084,0.14107883817427386,0.7890295358649789,2024-07
2024-07-11,241,38,3,159,81,491.92999267578125,502.9599914550781,-0.02193017131916748,463.7395971679687,True,-0.089158998240771,0.7012448132780082,0.15767634854771784,0.14522821576763487,0.6625,2024-07
2024-07-12,241,45,0,182,57,494.82000732421875,502.9599914550781,-0.01618415832104291,465.1441973876953,True,-0.08974981408342853,0.7634854771784232,0.18672199170124482,0.18672199170124482,0.7615062761506276,2024-07
2024-07-15,241,64,2,156,83,496.1499938964844,502.9599914550781,-0.01353983949874865,466.63679748535156,True,-0.09023478698865528,0.8008298755186722,0.26556016597510373,0.2572614107883817,0.6527196652719666,2024-07
2024-07-16,241,102,0,186,52,496.3399963378906,502.9599914550781,-0.013162070998998665,468.02559753417967,True,-0.06801791113896527,0.8174273858921162,0.42323651452282157,0.42323651452282157,0.7815126050420168,2024-07
2024-07-17,241,29,17,57,182,481.7699890136719,502.9599914550781,-0.04213059249524589,468.9513970947266,True,-0.03952088851844904,0.7012448132780082,0.12033195020746888,0.04979253112033195,0.2384937238493724,2024-07
2024-07-18,241,3,16,40,201,479.489990234375,502.9599914550781,-0.04666375381629007,469.73619689941404,True,-0.010573686437463259,0.6473029045643154,0.012448132780082987,-0.05394190871369295,0.16597510373443983,2024-07
2024-07-19,240,4,16,80,156,475.239990234375,502.9599914550781,-0.055113730101092814,470.43459655761717,True,-0.00044186402532031543,0.5708333333333333,0.016666666666666666,-0.05,0.3389830508474576,2024-07
2024-07-22,241,20,2,186,49,482.32000732421875,502.9599914550781,-0.04103702974693333,471.2797967529297,True,-0.0021770158703805498,0.6846473029045643,0.08298755186721991,0.07468879668049792,0.7914893617021277,2024-07
2024-07-23,241,21,6,125,115,480.6199951171875,502.9599914550781,-0.04441704453123668,472.071796875,True,-0.0007490020290868982,0.6763485477178424,0.08713692946058091,0.06224066390041494,0.5208333333333334,2024-07
