score,train_excess,test_excess,train_cagr,test_cagr,test_mdd,bench_mdd,sharpe,calmar,turnover,holdings,gap,rs_threshold,vol_contract_max,base_tight_max,adtv_min_m,rs_accel_min,price_vs_ma50_min,pct_from_52w_high_min,vol_trend_min,liquidity_power,cap_pct,bear_exposure
1.3556358603559742,0.059132986009590605,0.335065153132424,0.329925952236374,0.49187259594839805,-0.14526237752508792,-0.2611418577155121,1.4631735104922634,3.386097655350904,1.4675978009900676,10.24074074074074,-0.2759321671228334,75,1.1,1.0,25,-99.0,-99.0,-20.0,1.0,2.5,0.18,0.25
1.2889993108253492,0.005809248222654162,0.31576035721127993,0.27660221444943756,0.47256780002725396,-0.12514832859187291,-0.2611418577155121,1.552934080098985,3.776061616998234,1.4685268302687913,6.37037037037037,-0.30995110898862577,80,1.0,1.0,25,-99.0,-99.0,-20.0,1.0,1.5,0.25,0.3
0.899290788309693,0.04416955181390447,0.31534434486741425,0.31496251804068787,0.4721517876833883,-0.34433772565965387,-0.2611418577155121,1.0491782403437466,1.3711880880286316,1.4970306079668136,30.444444444444443,-0.2711747930535098,60,1.1,1.0,25,0.0,-99.0,-20.0,0.85,3.0,0.15,0.3
0.8857109892717583,-0.16292148569213882,0.2595662156442047,0.10787148053464457,0.4163736584601787,-0.18206776023291285,-0.2611418577155121,1.3435447223888086,2.2869159148633815,1.3394617772104043,4.407407407407407,-0.4224877013363435,80,1.0,0.95,25,-99.0,-99.0,-30.0,1.0,2.5,0.18,0.4
0.8792575672975861,-0.020842675584407555,0.19167131997067743,0.24995029064237584,0.34847876278665146,-0.14694093794046378,-0.2611418577155121,1.4698815707030235,2.3715566789688314,1.366181674605168,6.314814814814815,-0.212513995555085,75,1.1,0.95,10,-99.0,-99.0,-20.0,1.0,1.5,0.25,0.3
0.8661222344762922,-0.09681344769204525,0.31464023099128946,0.17397951853473814,0.4714476738072635,-0.26595057860857935,-0.2611418577155121,1.045557378405819,1.772689032202222,1.647154194074354,9.722222222222221,-0.4114536786833347,80,0.85,1.1,15,0.0,-99.0,-20.0,0.85,3.0,0.25,0.4
0.8192887162002892,-0.0034758169256992044,0.2304656665162037,0.2673171493010842,0.38727310933217773,-0.11265107583151973,-0.2611418577155121,1.1349322741492551,3.4378110148844123,1.4536620116575005,19.296296296296298,-0.2339414834419029,75,1.0,1.1,25,-99.0,-99.0,-20.0,0.95,1.5,0.15,0.25
0.8076165137664099,-0.08705083919449685,0.22394657491648728,0.18374212703228654,0.3807540177324613,-0.17049377089823411,-0.2611418577155121,1.2531927817319257,2.233242984341811,1.34589587551506,4.685185185185185,-0.31099741411098414,70,1.0,0.95,15,0.0,-99.0,-20.0,1.0,3.0,0.12,0.4
0.7827673931843993,0.04224279927067576,0.2958923776239437,0.31303576549745915,0.45269982043991774,-0.3450772746146495,-0.2611418577155121,0.9647590086308352,1.3118795520378768,1.5388706982508351,18.037037037037038,-0.25364957835326796,80,1.1,1.0,25,-99.0,-99.0,-20.0,0.9,3.0,0.12,0.4
0.7721050315899896,-0.06316834485034284,0.19778877042848442,0.20762462137644055,0.35459621324445845,-0.18002247781157102,-0.2611418577155121,1.367657557036629,1.9697329886527462,1.4730723778781172,14.055555555555555,-0.26095711527882726,80,1.0,1.0,15,0.0,-99.0,-30.0,0.85,1.0,0.2,0.3
0.75408870222669,0.027923244193939878,0.2690207078959923,0.29871621042072327,0.42582815071196634,-0.3422258231070518,-0.2611418577155121,1.0555086865904149,1.2442899452937042,1.4882769272245164,30.61111111111111,-0.24109746370205243,60,1.1,1.0,10,0.0,-99.0,-20.0,0.85,2.5,0.15,0.3
0.7438611557059585,-0.006209467846265859,0.30360694994307313,0.26458349838051753,0.46041439275904716,-0.3721901955557261,-0.2611418577155121,1.0654795315318397,1.2370406266924667,1.5713110545416233,24.51851851851852,-0.309816417789339,80,1.1,1.0,10,-99.0,-99.0,-30.0,0.85,3.0,0.15,0.5
0.7276910523277194,0.044006752205393296,0.19241654759687798,0.3147997184321767,0.349223990412852,-0.1658617019534994,-0.2611418577155121,1.1539281444843839,2.10551312508996,1.5684313830349996,16.814814814814813,-0.1484097953914847,60,1.1,1.0,25,-99.0,-99.0,-30.0,1.0,3.0,0.25,0.4
0.6956126953949002,0.10832999294079793,0.17637485799647457,0.3791229591675813,0.3331823008124486,-0.1945039156222137,-0.2611418577155121,1.1004765033403492,1.7129850560931168,1.640267077351653,10.685185185185185,-0.06804486505567664,75,0.95,1.1,25,-99.0,-99.0,-99.0,1.0,3.0,0.25,0.5
0.6877779792282377,-0.0021831257867617193,0.18654487936924125,0.2686098404400217,0.3433523221852153,-0.10039009696775629,-0.2611418577155121,1.1042679150652381,3.420181198704237,1.4060249687511444,8.166666666666666,-0.18872800515600296,75,0.95,0.95,25,-99.0,-99.0,-20.0,0.95,1.0,0.18,0.25
