ticker,rs_pct,vol_trend,adtv_63m,vol_contraction,close,rev_latest_q,rev_ttm,rev_yoy_pct,rev_prior_yoy_pct,rev_accel,latest_q_date,concept
AAOI,98.6909090909091,1.0743321757741264,1693.4734979057555,0.9862186460939633,113.27999877929688,,,,,,,
ABNB,85.16363636363636,1.2786588311529574,671.2882354952616,1.3959523084195455,184.39999389648438,3.608,18.845,16.5374677002584,17.869718309859156,-1.3322506096007558,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
AG,90.32727272727273,0.9129108334226311,194.82779887520323,0.9010976399304559,21.739999771118164,,,,,,,
AIR,85.89090909090909,0.8191160615446746,61.88799606783428,0.9678134817584602,135.89999389648438,,,,,,,
ALAB,93.16363636363636,0.8292830378295833,1813.252915686035,0.7375959403856688,304.0899963378906,0.3924,1.123261,104.45486518171161,93.40010787621831,11.054757305493297,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
ALM,98.25454545454545,1.0875394219115004,99.8327887248024,0.8317304927195971,18.889999389648438,,,,,,,
AMAT,95.12727272727273,0.7561035354468878,5341.155015706284,0.5580596333532315,482.3599853515625,5.162,25.795,24.02691013935608,251.31948343627175,-227.29257329691566,2021-01-31,Revenues
AMD,97.45454545454545,0.8300856580704223,14111.355155646916,0.7219081282380636,476.6700134277344,,,,,,,
AMG,83.27272727272728,0.8497104999443269,105.9639748668368,0.7527009928570064,370.4800109863281,0.6407,2.2068,29.906731549067317,9.72613773660894,20.180593812458376,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
AMGN,81.6,0.9471182658941194,1015.1029668681796,1.0112367699654194,436.989990234375,6.526,37.423,5.15630035449565,-4.220094140561597,9.376394495057246,2021-06-30,Revenues
AMRX,90.25454545454545,0.869321053658797,33.84305129651872,0.9041889323067626,18.010000228881836,,,,,,,
ANET,86.47272727272727,0.9928579519601274,1407.1666421389382,0.8658933926682136,201.08999633789062,3.0357,10.2578,37.68595791001451,35.125698324022345,2.5602595859921635,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
APA,90.69090909090909,1.0529076502122385,205.51555705077462,1.1038771340090618,42.380001068115234,,,,,,,
ARGX,85.81818181818181,0.9240570048970257,303.6350295615544,1.2119819348516048,1058.9000244140625,,,,,,,
ARMK,83.12727272727273,1.0371968876194229,145.4961512843783,1.4551723878960148,58.880001068115234,5.057909,19.423251,9.325895810849397,-44.43292240491411,53.758818215763505,2026-07-03,RevenueFromContractWithCustomerIncludingAssessedTax
ARW,83.05454545454546,1.0703013243505144,127.28663351864284,1.1764428066570622,208.9600067138672,9.992237,49.152237,31.824628852945807,39.030295932634154,-7.205667079688347,2026-07-04,Revenues
ATI,95.27272727272728,0.9334013101414843,330.1203410704113,1.0457014623225187,214.52000427246094,0.9873,4.1942,-10.16378525932666,-14.060980998674328,3.8971957393476675,2014-03-31,Revenues
AU,91.49090909090908,0.998102686676009,286.2161008602324,1.0834033245897232,118.4000015258789,,,,,,,
AUGO,96.50909090909092,0.9514765730981947,70.46394323616028,0.8895282872352189,89.12000274658203,,,,,,,
AVT,86.32727272727273,1.0294367303751841,116.06457699329437,1.0851790225808864,91.5199966430664,7.119779,24.652729,33.94567092778881,-43.918927793973765,77.86459872176258,2026-03-28,RevenueFromContractWithCustomerExcludingAssessedTax
AXSM,81.67272727272727,0.7964520104318917,201.22755513494582,0.9736221619861177,206.27000427246094,,,,,,,
B,83.41818181818181,1.1163149560721213,441.93637000951617,1.0701790188443956,47.31999969482422,,,,,,,
BBVA,84.94545454545455,1.0955744933390945,41.074561197635106,0.4037920502480097,28.690000534057617,,,,,,,
BE,98.10909090909091,0.8980581381664117,3516.9063423337907,0.603411041359803,217.8300018310547,0.751054,2.724628,130.36982280282558,277.2139140856964,-146.8440912828708,2026-03-31,Revenues
BHP,85.67272727272727,1.015209490925445,240.73013563066513,0.8534212437259475,96.37000274658203,,,,,,,
BIO,81.38181818181818,0.8730416958141503,99.3611799544077,0.8368004217155707,389.94000244140625,0.651,3.7847,-0.09208103130755065,1.1445165698667576,-1.2365976011743083,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
BLTE,90.76363636363637,0.8747094313996918,30.952567577616374,0.9582762311931325,157.00999450683594,,,,,,,
BNS,80.65454545454546,0.8820956156457267,222.9713682071504,1.307168702912265,92.93000030517578,,,,,,,
BRKR,87.2,1.0434644867920462,141.7025201093946,1.372541207646521,59.25,0.5211,1.9393,11.680240034290614,-44.002741603838246,55.68298163812886,2019-09-30,Revenues
BTSG,94.39999999999999,0.7562780860617752,248.3602222112807,1.4711359582159032,60.900001525878906,2.906823,10.4702,28.818331162595296,26.006357985604073,2.8119731769912235,2024-09-30,Revenues
BVN,85.45454545454545,0.9827740230925307,37.926906828789484,0.7541891849169184,36.29999923706055,,,,,,,
CAKE,93.30909090909091,1.1123811873591474,148.58313566662017,1.0203450193287213,110.08999633789062,1.029633,3.871517,7.721915622629666,5.569043040475757,2.1528725821539094,2026-06-30,RevenueFromContractWithCustomerExcludingAssessedTax
CAT,84.36363636363636,0.8462057820298211,2943.0506548607236,0.7426480447250444,817.0,20.543,72.165,23.984549459834632,22.219103094954033,1.7654463648805994,2026-06-30,Revenues
CDE,83.2,1.047710781381648,663.238017936743,1.0610503151780883,22.209999084472656,0.148795,0.696634,-6.9566033016508255,13.67326467834693,-20.629867979997755,2018-09-30,Revenues
CHRD,81.0909090909091,0.9421893937185291,103.24032183088273,0.9662626655056932,145.99000549316406,,,,,,,
CHYM,86.54545454545455,1.427721837498078,170.06690145092617,1.2138921973436143,33.36000061035156,0.669768,2.388823,26.814213413260273,24.798937433493208,2.0152759797670647,2026-06-30,Revenues
CIB,92.21818181818182,0.8873482581587823,30.01574479691036,1.0804569688568935,98.62999725341797,,,,,,,
CMBT,92.72727272727272,0.9571207275713849,16.787787243800693,0.6991102523892195,18.280000686645508,,,,,,,
