
==========================================================
  Fast OHLCV Pre-fetch (Polygon-parallel)  [2026-05-18]
==========================================================
  Universe: 5021 tickers | workers=8 | timeout=8s
  [1615/5021] ok=60 fail=1261 skip=294 | 31/min | ETA 6500s
  [1631/5021] ok=60 fail=1277 skip=294 | 31/min | ETA 6468s
  [1647/5021] ok=61 fail=1292 skip=294 | 31/min | ETA 6436s
  [1663/5021] ok=61 fail=1308 skip=294 | 31/min | ETA 6404s
  [1679/5021] ok=62 fail=1323 skip=294 | 31/min | ETA 6372s
  [1694/5021] ok=62 fail=1338 skip=294 | 31/min | ETA 6347s
  [1707/5021] ok=62 fail=1351 skip=294 | 31/min | ETA 6335s
  [1722/5021] ok=62 fail=1366 skip=294 | 31/min | ETA 6309s
  [1739/5021] ok=65 fail=1380 skip=294 | 31/min | ETA 6271s
  [1754/5021] ok=65 fail=1395 skip=294 | 31/min | ETA 6245s
  [1773/5021] ok=70 fail=1409 skip=294 | 31/min | ETA 6195s
  [1788/5021] ok=70 fail=1424 skip=294 | 31/min | ETA 6170s
  [1804/5021] ok=71 fail=1439 skip=294 | 31/min | ETA 6138s
  [1820/5021] ok=71 fail=1455 skip=294 | 31/min | ETA 6107s
  [1837/5021] ok=72 fail=1471 skip=294 | 31/min | ETA 6069s
  [1853/5021] ok=72 fail=1487 skip=294 | 31/min | ETA 6038s
  [1869/5021] ok=72 fail=1503 skip=294 | 31/min | ETA 6006s
  [1885/5021] ok=72 fail=1519 skip=294 | 31/min | ETA 5975s
  [1901/5021] ok=72 fail=1535 skip=294 | 31/min | ETA 5943s
  [1917/5021] ok=72 fail=1551 skip=294 | 32/min | ETA 5912s
  [1932/5021] ok=72 fail=1566 skip=294 | 31/min | ETA 5886s
  [1946/5021] ok=72 fail=1580 skip=294 | 31/min | ETA 5865s
  [1963/5021] ok=75 fail=1594 skip=294 | 31/min | ETA 5829s
  [1979/5021] ok=75 fail=1610 skip=294 | 31/min | ETA 5797s
  [1996/5021] ok=77 fail=1625 skip=294 | 32/min | ETA 5761s
  [2012/5021] ok=77 fail=1641 skip=294 | 32/min | ETA 5729s
  [2029/5021] ok=78 fail=1657 skip=294 | 32/min | ETA 5693s
  [2045/5021] ok=78 fail=1673 skip=294 | 32/min | ETA 5662s
  [2061/5021] ok=79 fail=1688 skip=294 | 32/min | ETA 5630s
  [2075/5021] ok=79 fail=1702 skip=294 | 32/min | ETA 5609s
  [2093/5021] ok=81 fail=1718 skip=294 | 32/min | ETA 5568s
  [2109/5021] ok=81 fail=1734 skip=294 | 32/min | ETA 5537s
  [2125/5021] ok=83 fail=1748 skip=294 | 32/min | ETA 5506s
  [2141/5021] ok=83 fail=1764 skip=294 | 32/min | ETA 5475s
  [2156/5021] ok=83 fail=1779 skip=294 | 32/min | ETA 5449s
  [2170/5021] ok=83 fail=1793 skip=294 | 32/min | ETA 5427s
  [2188/5021] ok=85 fail=1809 skip=294 | 32/min | ETA 5387s
  [2204/5021] ok=85 fail=1825 skip=294 | 32/min | ETA 5356s
  [2220/5021] ok=87 fail=1839 skip=294 | 32/min | ETA 5325s
  [2236/5021] ok=87 fail=1855 skip=294 | 32/min | ETA 5294s
  [2250/5021] ok=87 fail=1869 skip=294 | 32/min | ETA 5272s
  [2263/5021] ok=87 fail=1882 skip=294 | 31/min | ETA 5254s
  [2282/5021] ok=91 fail=1897 skip=294 | 32/min | ETA 5210s
  [2298/5021] ok=91 fail=1913 skip=294 | 32/min | ETA 5179s
  [2314/5021] ok=92 fail=1928 skip=294 | 32/min | ETA 5148s
  [2330/5021] ok=92 fail=1944 skip=294 | 32/min | ETA 5117s
  [2346/5021] ok=92 fail=1960 skip=294 | 32/min | ETA 5086s
  [2359/5021] ok=92 fail=1973 skip=294 | 32/min | ETA 5068s
  [2377/5021] ok=94 fail=1989 skip=294 | 32/min | ETA 5028s
  [2393/5021] ok=94 fail=2005 skip=294 | 32/min | ETA 4997s
  [2409/5021] ok=96 fail=2019 skip=294 | 32/min | ETA 4966s
  [2425/5021] ok=96 fail=2035 skip=294 | 32/min | ETA 4935s
  [2441/5021] ok=98 fail=2049 skip=294 | 32/min | ETA 4904s
  [2457/5021] ok=98 fail=2065 skip=294 | 32/min | ETA 4874s
  [2472/5021] ok=100 fail=2078 skip=294 | 32/min | ETA 4847s
  [2487/5021] ok=100 fail=2093 skip=294 | 32/min | ETA 4820s
  [2503/5021] ok=102 fail=2107 skip=294 | 32/min | ETA 4789s
  [2519/5021] ok=102 fail=2123 skip=294 | 32/min | ETA 4758s
  [2535/5021] ok=104 fail=2137 skip=294 | 32/min | ETA 4727s
  [2550/5021] ok=104 fail=2152 skip=294 | 32/min | ETA 4700s
  [2567/5021] ok=105 fail=2168 skip=294 | 32/min | ETA 4665s
  [2583/5021] ok=105 fail=2184 skip=294 | 32/min | ETA 4635s
  [2599/5021] ok=105 fail=2200 skip=294 | 32/min | ETA 4604s
  [2614/5021] ok=105 fail=2215 skip=294 | 32/min | ETA 4577s
  [2628/5021] ok=105 fail=2229 skip=294 | 32/min | ETA 4554s
  [2644/5021] ok=105 fail=2245 skip=294 | 32/min | ETA 4523s
  [2662/5021] ok=108 fail=2260 skip=294 | 32/min | ETA 4484s
  [2678/5021] ok=108 fail=2276 skip=294 | 32/min | ETA 4453s
  [2694/5021] ok=111 fail=2289 skip=294 | 32/min | ETA 4423s
  [2710/5021] ok=111 fail=2305 skip=294 | 32/min | ETA 4392s
  [2725/5021] ok=111 fail=2320 skip=294 | 32/min | ETA 4365s
  [2738/5021] ok=111 fail=2333 skip=294 | 32/min | ETA 4345s
  [2758/5021] ok=115 fail=2349 skip=294 | 32/min | ETA 4299s
  [2774/5021] ok=115 fail=2365 skip=294 | 32/min | ETA 4269s
